Ankomstdatum;Fynddatum;Djurslag;Resultat;coords.x1;coords.x2
2017-03-28;;Skata;0;16.6712609974601;56.623497204826
2017-03-28;;Skata;0;16.6712609974601;56.623497204826
2017-03-28;;Skata;0;16.6712609974601;56.623497204826
2017-03-30;;Kattuggla;0;17.6784309164002;59.8480855839505
2017-03-30;;Havsörn;0;17.5131514407954;58.7464712872151
2017-04-04;;Kattuggla;0;16.8626612879222;59.9639057354127
2017-04-04;;Skata;0;14.806574793335;56.8767778484665
2017-04-05;;Sångsvan;0;15.4521680698295;60.4341019883535
2017-04-06;;Grönsiska;0;16.3455547361422;63.1043631493729
2017-04-07;;Koltrast;0;13.2272541920044;61.4326741458105
2017-04-07;;Slaguggla;0;18.6716895499466;64.7406747837354
2017-04-10;;Hökuggla;0;20.3703563687828;63.7049980154549
2017-04-11;;Björktrast;0;17.6427706995791;59.8485878729537
2017-04-11;;Björktrast;0;17.6427706995791;59.8485878729537
2017-04-11;;Björktrast;0;17.6427706995791;59.8485878729537
2017-04-11;;Kattuggla;0;15.8436586233652;58.2972808425741
2017-04-13;;Gräsand;0;17.8894812973288;59.5126929764505
2017-04-18;;Havsörn;0;18.0415793361372;59.9411903823398
2017-04-19;;Hornuggla;0;17.7739346738388;59.9544333606206
2017-04-19;;Sparvhök;0;18.0665458833641;60.0074259682816
2017-04-20;;Domherre;0;16.3464618087577;63.1350878628815
2017-04-21;;Grönsiska;0;12.6808242999144;62.4368057901556
2017-04-21;;Tornfalk;0;17.3156297542695;62.3868741125184
2017-04-21;;Ormvråk;0;12.8547370403777;55.411301535655
2017-04-21;;Stadsduva;0;12.852638556813;55.4080966113899
2017-04-21;;Gråhakedopping;0;12.852638556813;55.4080966113899
2017-04-21;;Kråka;0;12.852638556813;55.4080966113899
2017-04-25;;Sparvhök;0;17.6222154473636;59.8774231799673
2017-04-26;;Havsörn;0;17.2471462624294;58.8531521564214
2017-04-26;;Havsörn;0;17.8600240150213;60.5562316918299
2017-04-26;;Havsörn;0;18.2539562943346;60.3466085707042
2017-04-26;;Hökuggla;0;18.1026154003767;59.1229200310705
2017-04-26;;Knölsvan;0;18.0540399217783;59.3303727418552
2017-04-26;;Havsörn;0;15.5126340209001;60.4367350249046
2017-04-27;;Lappuggla;0;15.476079808079;62.4186162339434
2017-04-27;;Råka;0;12.9402398070394;55.5853026427866
2017-04-27;2017-04-27;Knölsvan;0;16.4910006599111;59.365908190487
2017-04-27;;Gräsand;0;16.4910006599111;59.365908190487
2017-04-28;;Större hackspett;0;13.5501737962072;59.3181413038103
2017-04-28;;Domherre;0;14.9718097484646;56.8757546225487
2017-04-28;;Grågås;0;16.7932810314554;58.8035678818801
2017-05-05;;Kattuggla;0;14.0001882711585;57.5715464046581
2017-05-11;;Havsörn;0;18.3910654308673;57.0026809099374
2017-05-11;;Kungsörn;0;18.7341672215867;57.7358161191111
2017-05-11;;Berguv;0;18.8754153634811;57.4243465975262
2017-05-11;;Havsörn;0;18.2082683203826;57.0613986550349
2017-05-12;;Domherre;0;22.1649373366317;65.5840900676339
2017-05-12;;Ejder;0;18.9602232850003;63.1960359082212
2017-05-12;;Ejder;0;18.9602232850003;63.1960359082212
2017-05-12;;Ejder;0;18.9602232850003;63.1960359082212
2017-05-12;;Grönfink;0;17.3317823171357;56.7862932275508
2017-05-12;;Grönfink;0;17.3317823171357;56.7862932275508
2017-05-18;;Slaguggla;0;22.1580988724776;65.7405055672184
2017-05-18;;Pilgrimsfalk;0;12.3121220866971;57.0742449695307
2017-05-18;;Havsörn;0;18.4382329410784;60.2032776159495
2017-05-18;;Havsörn;0;17.0943867247359;60.8888379298885
2017-05-18;;Ormvråk;0;16.9006656760027;60.6108417811574
2017-05-18;;Stadsduva;0;17.6828978124116;59.6600876341541
2017-05-18;;Kattuggla;0;15.1055641197833;60.8737567671639
2017-05-18;2017-05-12;Domherre;0;15.0152095071135;56.5940201440322
2017-05-18;;Lappuggla;0;21.8183025735088;65.6912970809947
2017-05-18;;Hornuggla;0;20.9652374930038;64.8053746800108
2017-05-18;;Hökuggla;0;22.4283784127663;65.9259800563224
2017-05-18;;Hornuggla;0;21.4956200611755;65.4157868557855
2017-05-18;;Lappuggla;0;22.1318293261606;65.6335436107004
2017-05-18;;Bofink;0;17.004241646227;59.3660734883029
2017-05-18;;Grönfink;0;15.1779786881793;56.5949487029027
2017-05-19;;Domherre;0;15.0152095071135;56.5940201440322
2017-05-19;;Domherre;0;15.0152095071135;56.5940201440322
2017-05-22;;Kråka;0;17.7788602170721;59.4335981281495
2017-05-22;;Kråka;0;17.7788602170721;59.4335981281495
2017-05-24;;Tornfalk;0;15.425839841552;60.483536059732
2017-05-24;;Grönfink;0;13.397794932684;55.7350502004826
2017-05-24;;Grönfink;0;13.397794932684;55.7350502004826
2017-05-26;;Havsörn;0;17.4967401563769;59.533271819519
2017-05-30;;Gröngöling;0;17.5065534870497;59.7685037798163
2017-05-31;2017-05-12;Kungsörn;0;12.6640551819486;59.725505791466
2017-06-02;;Berguv;0;16.9251685318934;58.7416652147118
2017-06-02;;Kanadagås;0;22.692980218727;65.7770832102624
2017-06-02;;Kanadagås;0;22.692980218727;65.7770832102624
2017-06-02;;Kråka;0;17.6319925392764;59.7876506485743
2017-06-13;;Slaguggla;0;16.9214216774995;60.1528960240895
2017-06-14;;Duva (Släkte);0;12.6919702219462;56.0421538471647
2017-06-14;;Skrattmås;0;13.9947691738518;59.3393936149667
2017-06-14;;Duva (Släkte);0;12.6919702219462;56.0421538471647
2017-06-14;;Duva (Släkte);0;12.6942611968868;56.0444043369277
2017-06-15;;Havsörn;0;14.0531499845768;58.7528631199165
2017-06-15;;Slaguggla;0;16.8749350665968;61.1532891598528
2017-06-15;;Större hackspett;0;17.9972059881903;59.2618376584529
2017-06-15;;Havsörn;0;15.4077229925731;59.2723925302383
2017-06-15;;Havsörn;0;18.7475630834614;60.1664975131967
2017-06-15;;Korp;0;17.0360475924716;59.3619081940539
2017-06-15;;Gräsand;0;18.0244801715683;59.3284727397861
2017-06-16;;Tornfalk;0;17.928636703105;62.6351842545626
2017-06-26;;Havsörn;0;18.4277718487962;60.3884728844463
2017-06-27;;Lärkfalk;0;16.1047743301799;59.7053040107299
2017-06-28;;Kaja;0;16.4910006599111;59.365908190487
2017-06-28;;Kaja;0;16.4910006599111;59.365908190487
2017-06-28;;Kaja;0;16.4910006599111;59.365908190487
2017-06-28;;Kaja;0;16.4910006599111;59.365908190487
2017-07-06;;Kattuggla;0;13.0217937698018;58.5565313899113
2017-07-07;;Havsörn;0;20.0615908567479;67.4665137012243
2017-07-07;;Havsörn;0;18.9358069715854;68.3359320315153
2017-07-10;;Havsörn;0;12.3484652541165;59.7979937435067
2017-07-10;;Havsörn;0;20.1368938995009;67.3656818010633
2017-07-12;;Gräsand;0;16.6381692475197;59.0674960364446
2017-07-12;;Gräsand;0;16.6381692475197;59.0674960364446
2017-07-12;;Gräsand;0;16.6381692475197;59.0674960364446
2017-07-13;;Havsörn;0;19.0689179849147;68.3437106984909
2017-07-13;;Havsörn;0;20.1519645275003;67.3203522385563
2017-07-13;;Havsörn;0;20.1778647931984;67.5891925257127
2017-07-14;;Kattuggla;0;12.9969235688336;55.6002020063348
2017-07-14;;Kattuggla;0;12.9969235688336;55.6002020063348
2017-07-17;2017-07-16;Havsörn;0;17.7739346738388;59.9544333606206
2017-07-18;2017-07-15;Större hackspett;0;16.9446540766652;59.6271605111228
2017-07-18;;Grönfink;0;16.1723767893102;59.6625142226234
2017-07-18;;Kaja;0;11.9233398065559;58.2252790528537
2017-07-18;;Kaja;0;11.9233398065559;58.2252790528537
2017-07-18;;Kaja;0;11.9233398065559;58.2252790528537
2017-07-18;;Kaja;0;11.9233398065559;58.2252790528537
2017-07-18;;Kaja;0;11.9233398065559;58.2252790528537
2017-07-18;;Gråtrut;0;16.4514096756821;57.2562261442747
2017-07-19;;Lappuggla;0;15.0706271501718;62.3811748406617
2017-07-20;;Hornuggla;0;17.4984469777312;60.3714826401733
2017-07-20;;Ormvråk;0;16.3319542209056;60.2004631745917
2017-07-20;;Kornknarr;0;17.5200071480492;60.039995645439
2017-07-26;2017-07-18;Havsörn;0;14.9323256165205;56.3868307927886
2017-07-26;2017-05-02;Fiskgjuse;0;14.0722157977177;55.8134910980509
2017-07-26;;Berguv;0;15.4199362754432;60.4813920042811
2017-07-27;;Stäpphök;0;22.1936844275998;65.5630683004189
2017-07-27;;Koltrast;0;13.6082725393127;58.5192591984189
2017-07-27;;Stenknäck;0;13.6082725393127;58.5192591984189
2017-07-28;;Rödhake;0;17.004241646227;59.3660734883029
2017-07-28;;Gråtrut;0;18.4935201384506;57.1710159975933
2017-08-01;;Havsörn (Släkte);0;20.2005082748012;67.8673799053042
2017-08-01;;Havsörn;0;20.2005082748012;67.8673799053042
2017-08-01;;Stenfalk;0;20.20534630598;63.7662098629797
2017-08-01;;Kråka;0;18.476704286745;59.3261485301396
2017-08-03;;Sparvhök;0;15.5562996801181;58.2909279804459
2017-08-04;;Knölsvan;0;12.9824528354696;55.6050093121948
2017-08-04;;Gräsand;0;12.9913355847393;55.6017720950386
2017-08-04;;Stenknäck;0;14.871169366668;59.1736777458711
2017-08-04;;Grönfink;0;18.2153815559612;60.2613637647191
2017-08-04;;Grönfink;0;18.2153815559612;60.2613637647191
2017-08-07;;Grönfink;0;17.4292774507081;60.4889538733508
2017-08-09;;Bivråk;0;16.7709000590142;59.6416152205427
2017-08-10;;Grönfink;0;13.4395784344072;58.3859146293964
2017-08-10;;Knölsvan;0;12.8536612691754;56.0604013357954
2017-08-11;;Slaguggla;0;15.425839841552;60.483536059732
2017-08-11;;Slaguggla;0;14.9629736256197;60.5006834729172
2017-08-15;;Kattuggla;0;15.1331157653072;56.6763209084515
2017-08-16;2017-08-07;Berguv;0;11.9172457191452;57.8623324332636
2017-08-16;;Sparvhök;0;16.4313014742855;59.7089401842604
2017-08-16;2017-08-11;Svart stork;0;14.2806851649729;56.0436751349649
2017-08-16;;Skata;0;15.458713546625;60.7356671586044
2017-08-16;;Duvhök;0;15.9906135312518;59.1259496209048
2017-08-17;;Grönfink;0;17.9179271723559;58.9498093562233
2017-08-18;;Skata;0;17.6142471862142;59.8753960207259
2017-08-18;;Skarv (Släkte);0;17.3036096028267;59.7382222850427
2017-08-21;;Tornfalk;0;16.7050929626562;60.462749744493
2017-08-21;;Kungsfiskare;0;17.3335147139822;60.6545876635324
2017-08-21;;Kärrhök (Släkte);0;17.0517335800214;60.8819244083501
2017-08-21;;Ormvråk;0;16.6913307059328;60.668127193867
2017-08-21;;Ormvråk;0;17.0345324645413;60.9374701729165
2017-08-23;;Kattuggla;0;14.5345208735125;59.3406414613273
2017-08-24;;Trana;0;14.0291051071651;64.7255680888365
2017-08-25;;Fiskgjuse;0;16.8288233563264;61.1718014110696
2017-08-28;;Gröngöling;0;17.6433180753524;59.7633056316101
2017-08-28;;Sparvhök;0;16.1609592098283;58.6531869641201
2017-08-31;;Berguv;0;15.783473803115;58.7039382970348
2017-08-31;;Stadsduva;0;18.2952848010102;57.6441793959287
2017-09-04;;Havsörn;0;23.6658217106022;65.7350087694277
2017-09-04;;Gräsand;0;12.9810787950113;55.5998377465086
2017-09-04;;Sothöna;0;12.9810787950113;55.5998377465086
2017-09-06;;Lappuggla;0;15.561272346776;61.0329483963644
2017-09-06;;Grönfink;0;17.1560887784367;59.0603386905079
2017-09-06;;Grönfink;0;17.1560887784367;59.0603386905079
2017-09-06;;Bofink;0;17.1511878528599;60.6762456908041
2017-09-08;;Lärkfalk;0;15.535892565774;56.6295678748227
2017-09-11;;Stadsduva;0;17.6657043920528;59.8534553315432
2017-09-12;;Gräsand;0;13.0009126567925;55.6094588827089
2017-09-14;;Skarv (Släkte);0;18.286628907479;57.6427775881323
2017-09-15;;Stenknäck;0;13.0081635128362;59.4895912975085
2017-09-18;2016-12-29;Slaguggla;0;14.2802312821648;60.8476803433181
2017-09-18;;Havsörn;0;18.8807886090819;59.9218543041422
2017-09-18;;Havsörn;0;16.5185973617519;57.901295957954
2017-09-18;2017-05-10;Havsörn;0;18.2027882447084;65.7806792430012
2017-09-19;;Lappuggla;0;14.227364767143;58.4281303432113
2017-09-19;;Lappuggla;0;14.227364767143;58.4281303432113
2017-09-19;;Havsörn;0;16.3278375655243;58.4781627628974
2017-09-19;;Fjällvråk;0;16.4596452261486;63.0703824387652
2017-09-19;;Berguv;0;19.221039867951;57.9947262622312
2017-09-20;;Brun kärrhök;0;13.6886778045184;60.0239408399003
2017-09-20;;Slaguggla;0;17.1623414209584;59.8813434987348
2017-09-20;;Gråsparv;0;11.4363003496033;58.4426835090782
2017-09-20;;Gråsparv;0;11.4363003496033;58.4426835090782
2017-09-20;;Grönfink;0;22.7049809234897;66.0617256918658
2017-09-21;;Sparvhök;0;18.3748351621404;60.2574576159674
2017-09-21;;Sparvhök;0;15.5444992574418;60.5505056236035
2017-09-22;;Bofink;0;17.692280904919;63.1474892964153
2017-09-22;;Grönfink;0;17.692280904919;63.1474892964153
2017-09-25;;Havsörn;0;18.6535618168816;60.2105019429373
2017-09-25;2017-06-30;Lappuggla;0;15.649276548619;62.6236304082185
2017-09-25;;Hornuggla;0;17.3166466725208;62.3847990190864
2017-09-25;;Lappuggla;0;15.6186434479668;62.5193713941021
2017-09-27;;Fiskgjuse;0;12.8717873439011;56.1012513108701
2017-09-27;;Ormvråk;0;14.190948137065;56.012513019952
2017-09-28;;Knipa;0;15.0109660573182;66.1535356180439
2017-09-28;;Skrattmås;0;14.7597959109221;58.4218117475445
2017-09-28;;Skrattmås;0;14.7597959109221;58.4218117475445
2017-09-29;2017-09-05;Gräsand;0;12.6526965607279;58.2839833492029
2017-09-29;2017-09-05;Gräsand;0;12.6526965607279;58.2839833492029
2017-10-05;;Berguv;0;16.588940738734;58.0407810182413
2017-10-09;;Grönfink;0;17.8760376935615;59.3164584381314
2017-10-11;;Kattuggla;0;14.5822052801123;57.1621168724509
2017-10-11;;Fiskgjuse;0;16.212903223893;61.9734347362142
2017-10-12;;Hökuggla;0;20.1081208751649;63.8332172827747
2017-10-13;;Kungsörn;0;15.3797504617629;62.7784402378299
2017-10-17;;Tornfalk;0;14.5461161309718;61.0045270166502
2017-10-18;;Ormvråk;0;14.3805132284258;55.5594216407808
2017-10-18;;Ormvråk;0;13.9361809425147;55.5372755292767
2017-10-18;;Ormvråk;0;13.9484641768725;55.5455477384583
2017-10-19;;Kattuggla;0;14.2879400081201;55.6147860919742
2017-10-19;;Sparvhök;0;13.3437890736322;55.3830363717865
2017-10-19;;Tornfalk;0;14.1773711613259;55.4508865180534
2017-10-19;;Sparvhök;0;13.7516560037322;55.6431514346277
2017-10-19;2017-04-17;Röd glada;0;14.3475101459306;55.5518468390294
2017-10-19;2017-08-25;Bivråk;0;14.9450890161489;60.7424176625794
2017-10-20;;Havsörn;0;17.8773257611805;59.6201051280695
2017-10-20;;Havsörn;0;17.0354421411742;60.9596311715695
2017-10-20;;Slaguggla;0;17.5143727396789;60.3453261807951
2017-10-23;;Duva (Släkte);0;18.473319433305;57.2807769049385
2017-10-23;;Duva (Släkte);0;18.473319433305;57.2807769049385
2017-10-26;;Kattuggla;0;13.3633626203269;57.4784707875327
2017-10-26;;Ormvråk;0;17.867724627215;58.8639455824392
2017-10-26;;Sparvhök;0;19.4790103718341;64.9127141076804
2017-10-27;;Tornfalk;0;20.7982379506844;64.8795532944177
2017-10-27;;Lappuggla;0;20.5192228858598;64.6881003195773
2017-10-27;2017-04-18;Lappuggla;0;20.5192228858598;64.6881003195773
2017-10-30;;Havsörn;0;20.0336347124835;65.0504966527313
2017-10-31;;Lappuggla;0;13.967272070283;60.8181249069721
2017-11-03;;Slaguggla;0;20.974834641014;64.7537094953417
2017-11-13;2017-11-09;Berguv;0;16.2258095167549;59.720510800353
2017-11-15;;Kattuggla;0;18.1633925975325;60.1686623923066
2017-11-15;;Berguv;0;18.1679507919181;59.0882414194272
2017-11-15;;Pilgrimsfalk;0;16.1833460673164;58.5966271960529
2017-11-15;;Koltrast;0;18.1906565404133;59.1990762236202
2017-11-15;;Koltrast;0;18.1906565404133;59.1990762236202
2017-11-15;;Koltrast;0;18.1906565404133;59.1990762236202
2017-11-16;;Havsörn;0;13.8480521800184;61.4694444180477
2017-11-16;;Havsörn;0;21.5465698097989;65.2937110788785
2017-11-16;;Havsörn;0;20.6347203946256;63.8013924765658
2017-11-16;;Duva (Släkte);0;16.35046129043;56.6589722953144
2017-11-16;;Stenfalk;0;21.5308949849006;65.2356057835708
2017-11-16;;Större hackspett;0;13.1894200929509;58.2773738343502
2017-11-17;;Fiskgjuse;0;16.6969401532681;59.1012198905004
2017-11-17;;Berguv;0;17.8196745340158;59.0139995988186
2017-11-17;;Havsörn;0;18.7714067884099;57.768019124794
2017-11-17;;Havsörn;0;21.685844572785;65.4305635422544
2017-11-17;2017-11-13;Stadsduva;0;18.7614359505383;57.6910262887921
2017-11-17;;Stadsduva;0;18.7614359505383;57.6910262887921
